source_name,target_name,source_iso3,target_iso3,year,estimated_trips,dist,source_region,target_region,source_subregion,target_subregion
AUT,CHE,DEU,CHE,2023,2899,988.1768723133827,Eastern Europe,Western Europe,South,South
ESP,AUT,NLD,ITA,2024,6678,868.7357245818605,Southern Europe,Eastern Europe,East,East
NLD,BEL,AUT,DEU,2024,5426,659.3246491998814,Eastern Europe,Northern Europe,North,West
AUT,POL,NLD,AUT,2022,6682,368.8729513497827,Northern Europe,Southern Europe,North,South
ITA,NLD,ESP,DEU,2023,1902,1643.4463370829624,Northern Europe,Western Europe,West,South
AUT,ITA,FRA,POL,2022,2757,2482.7605523589705,Eastern Europe,Western Europe,East,North
CHE,ITA,ESP,CHE,2024,3446,394.00154316260426,Northern Europe,Western Europe,North,East
NLD,DEU,FRA,AUT,2024,9763,2396.484839007615,Northern Europe,Western Europe,East,South
ESP,CHE,CHE,AUT,2023,3049,2453.5588126194893,Southern Europe,Northern Europe,East,North
CHE,FRA,ITA,NLD,2022,1041,1498.5946002364763,Northern Europe,Northern Europe,West,South
CHE,ITA,POL,NLD,2023,2007,266.19989903041176,Western Europe,Southern Europe,South,West
ITA,CHE,ESP,NLD,2023,4937,606.3105686168406,Northern Europe,Southern Europe,West,North
BEL,CHE,BEL,DEU,2024,8205,2151.536197969604,Eastern Europe,Eastern Europe,North,North
NLD,ESP,NLD,CHE,2022,1343,2164.1560404737534,Southern Europe,Northern Europe,West,South
FRA,ESP,DEU,DEU,2022,5796,2705.2302979862293,Northern Europe,Western Europe,West,East
CHE,NLD,POL,ESP,2022,1566,1789.7898250082903,Eastern Europe,Western Europe,East,West
FRA,NLD,CHE,POL,2023,2066,452.1032259644192,Northern Europe,Western Europe,North,North
NLD,AUT,POL,NLD,2023,475,2191.2838363347887,Southern Europe,Eastern Europe,South,East
DEU,FRA,POL,ESP,2024,362,632.9755288129134,Northern Europe,Southern Europe,West,North
BEL,AUT,DEU,ITA,2023,4462,1052.3179488881556,Eastern Europe,Northern Europe,West,East
POL,AUT,FRA,ITA,2023,6602,1512.9148200735503,Southern Europe,Eastern Europe,South,South
ITA,AUT,FRA,DEU,2024,1993,821.5751783578024,Western Europe,Eastern Europe,North,North
AUT,NLD,CHE,NLD,2024,8206,1282.8798646711123,Southern Europe,Southern Europe,West,West
ESP,ITA,NLD,BEL,2023,1752,910.9453236302982,Western Europe,Western Europe,East,West
POL,ITA,AUT,AUT,2023,5640,495.47394965594094,Eastern Europe,Southern Europe,West,West
ITA,ESP,FRA,POL,2024,3992,2211.2355476089724,Northern Europe,Southern Europe,South,North
NLD,FRA,CHE,ITA,2024,699,2458.128199987156,Western Europe,Eastern Europe,South,East
ITA,FRA,BEL,FRA,2024,4915,846.6890308168021,Eastern Europe,Southern Europe,South,West
AUT,DEU,CHE,ITA,2023,2012,2345.8165343582796,Northern Europe,Western Europe,West,West
POL,ESP,DEU,AUT,2022,8892,1569.388793476608,Western Europe,Southern Europe,North,South
AUT,FRA,AUT,POL,2023,8672,2582.4031171901433,Eastern Europe,Eastern Europe,East,North
FRA,ITA,CHE,FRA,2023,4313,2274.865677226983,Southern Europe,Southern Europe,West,North
ESP,AUT,ITA,NLD,2023,3737,2434.8388688169152,Northern Europe,Northern Europe,North,North
POL,AUT,NLD,ESP,2024,9390,496.85098310043475,Eastern Europe,Eastern Europe,West,North
FRA,ESP,DEU,FRA,2023,5699,302.1863349178155,Western Europe,Eastern Europe,North,North
POL,NLD,AUT,POL,2024,6548,2690.8737143551625,Northern Europe,Western Europe,North,South
FRA,BEL,CHE,BEL,2022,7482,934.8510664020745,Northern Europe,Western Europe,West,South
ESP,POL,CHE,BEL,2024,9082,2201.619137359291,Southern Europe,Western Europe,North,West
AUT,FRA,POL,CHE,2024,3669,2525.605230081584,Northern Europe,Northern Europe,South,South
CHE,NLD,AUT,BEL,2024,7807,2601.2199035050726,Eastern Europe,Eastern Europe,South,North
DEU,ESP,ITA,ESP,2022,8604,2571.4159344848545,Western Europe,Western Europe,East,North
ESP,BEL,CHE,AUT,2024,4733,218.7084386856016,Southern Europe,Western Europe,North,South
FRA,CHE,ITA,FRA,2023,1020,244.01832523318475,Western Europe,Western Europe,East,North
CHE,DEU,CHE,POL,2022,9369,1908.2056660050478,Eastern Europe,Southern Europe,West,West
ESP,CHE,DEU,CHE,2023,7108,283.00847043508406,Southern Europe,Western Europe,West,North
FRA,AUT,NLD,CHE,2022,2481,1041.3665886794684,Western Europe,Southern Europe,North,South
BEL,DEU,ESP,AUT,2023,3718,2050.99236011608,Western Europe,Eastern Europe,South,West
BEL,FRA,NLD,ESP,2022,9089,1078.0739985572563,Western Europe,Eastern Europe,North,South
ESP,ITA,CHE,FRA,2022,4543,620.8393661762782,Western Europe,Eastern Europe,North,West
BEL,DEU,ESP,ITA,2023,372,915.9168033761407,Western Europe,Northern Europe,North,East
FRA,POL,ESP,BEL,2024,1873,1426.9684635262522,Southern Europe,Southern Europe,East,East
FRA,CHE,ITA,NLD,2022,2647,1478.6189805308989,Western Europe,Western Europe,West,East
ESP,FRA,AUT,CHE,2024,3264,2370.7006709068855,Southern Europe,Western Europe,North,South
CHE,POL,ITA,BEL,2023,4880,2275.4443653513863,Western Europe,Western Europe,North,South
CHE,BEL,NLD,ESP,2024,6819,431.28770191504793,Western Europe,Western Europe,East,West
NLD,BEL,BEL,NLD,2024,8535,840.5247156638143,Northern Europe,Northern Europe,East,West
FRA,ESP,CHE,ITA,2024,8797,2501.1317441565293,Eastern Europe,Southern Europe,North,North
NLD,FRA,BEL,POL,2022,6460,1196.1827120158441,Southern Europe,Eastern Europe,South,East
CHE,AUT,DEU,DEU,2022,7757,2945.4265205021425,Western Europe,Western Europe,South,North
POL,NLD,CHE,BEL,2022,3690,1452.1345164307227,Southern Europe,Eastern Europe,South,North
POL,BEL,CHE,BEL,2023,1292,2396.6133065949157,Northern Europe,Southern Europe,West,North
DEU,FRA,POL,NLD,2024,1564,1266.6904200088786,Western Europe,Southern Europe,North,North
POL,NLD,POL,NLD,2022,490,1332.3652052810482,Eastern Europe,Western Europe,South,East
AUT,ESP,FRA,NLD,2023,5715,1210.361127124132,Southern Europe,Southern Europe,South,North
CHE,BEL,ITA,CHE,2022,8964,1687.801863773984,Eastern Europe,Western Europe,North,South
DEU,FRA,DEU,FRA,2024,2660,2836.9565229682703,Western Europe,Northern Europe,South,West
CHE,DEU,ESP,BEL,2023,5967,827.5819179489038,Southern Europe,Western Europe,South,South
CHE,NLD,ESP,DEU,2024,1311,391.6319230419886,Northern Europe,Eastern Europe,North,West
ITA,POL,POL,ESP,2024,9221,1240.458306787724,Eastern Europe,Western Europe,West,West
DEU,BEL,POL,ITA,2022,1639,1888.4668521756503,Western Europe,Western Europe,East,South
CHE,AUT,POL,POL,2024,9204,2596.3169170549354,Western Europe,Eastern Europe,South,East
ITA,NLD,AUT,ITA,2023,743,1103.9709713729503,Northern Europe,Western Europe,East,North
ITA,BEL,FRA,BEL,2024,8793,1995.9815782609387,Western Europe,Western Europe,West,West
DEU,NLD,NLD,DEU,2024,9021,1115.5761749673352,Eastern Europe,Eastern Europe,West,East
NLD,POL,ESP,BEL,2024,1383,1889.9367906839286,Western Europe,Southern Europe,South,North
AUT,BEL,CHE,ESP,2022,7780,2665.9430463888875,Southern Europe,Eastern Europe,North,East
POL,CHE,FRA,CHE,2023,7445,770.9371625522862,Southern Europe,Western Europe,West,East
AUT,FRA,BEL,POL,2022,4486,1272.3007621104136,Eastern Europe,Northern Europe,East,North
CHE,NLD,FRA,BEL,2022,2439,2618.8153819234362,Northern Europe,Eastern Europe,East,East
FRA,AUT,DEU,DEU,2022,9047,1737.4555878989856,Western Europe,Northern Europe,East,West
AUT,NLD,FRA,AUT,2023,5502,925.3411086835748,Northern Europe,Western Europe,South,West
AUT,FRA,AUT,DEU,2024,5763,1599.9073403112352,Western Europe,Eastern Europe,South,North
CHE,BEL,POL,CHE,2022,5375,2559.7263450118467,Northern Europe,Western Europe,East,South
NLD,DEU,POL,BEL,2022,607,2087.0060885055636,Eastern Europe,Southern Europe,South,West
CHE,NLD,POL,POL,2023,8850,684.2453710552455,Northern Europe,Eastern Europe,East,South
BEL,ESP,FRA,FRA,2024,7454,869.1047572908044,Western Europe,Southern Europe,North,East
DEU,NLD,ESP,BEL,2024,3722,377.3580184687762,Southern Europe,Northern Europe,West,West
ITA,CHE,ESP,AUT,2022,4499,1315.4949058819595,Northern Europe,Western Europe,East,West
NLD,ESP,NLD,NLD,2022,5137,428.5688527549763,Eastern Europe,Eastern Europe,West,South
ITA,DEU,ITA,POL,2024,8211,598.5464174086026,Western Europe,Northern Europe,South,North
DEU,AUT,DEU,DEU,2023,3815,1687.2415845845098,Western Europe,Northern Europe,East,South
NLD,CHE,CHE,AUT,2024,7937,577.3378937287666,Eastern Europe,Western Europe,North,West
AUT,ITA,NLD,AUT,2023,1401,285.2513255496183,Southern Europe,Western Europe,South,West
AUT,BEL,ITA,ESP,2022,7470,1020.4276650808671,Western Europe,Eastern Europe,North,West
POL,FRA,AUT,POL,2023,5285,738.9253860037059,Northern Europe,Northern Europe,North,South
ITA,AUT,AUT,NLD,2024,2255,1594.3850451836925,Southern Europe,Eastern Europe,West,West
AUT,CHE,DEU,ESP,2024,6511,396.864545291307,Northern Europe,Northern Europe,West,East
DEU,BEL,POL,AUT,2022,6465,2280.1352842806364,Southern Europe,Northern Europe,East,West
ESP,BEL,FRA,ESP,2023,792,2728.077206361902,Eastern Europe,Northern Europe,West,North
ESP,NLD,NLD,ITA,2023,1578,2255.9620044729636,Northern Europe,Western Europe,North,East
NLD,CHE,NLD,POL,2023,6496,1645.1984084640433,Northern Europe,Northern Europe,North,West
AUT,DEU,CHE,CHE,2022,8548,2595.936683187767,Eastern Europe,Northern Europe,South,East
AUT,ESP,CHE,DEU,2023,541,2115.2633013663717,Northern Europe,Northern Europe,North,West
AUT,ITA,AUT,POL,2023,5309,1242.861443046059,Western Europe,Western Europe,East,West
BEL,ESP,BEL,CHE,2023,4777,1102.990688128281,Eastern Europe,Western Europe,West,North
FRA,DEU,POL,BEL,2023,7311,202.12400322401817,Southern Europe,Eastern Europe,West,South
POL,FRA,BEL,ESP,2024,2745,2263.9209518015896,Northern Europe,Southern Europe,East,North
NLD,POL,FRA,CHE,2023,8310,2425.910983820319,Northern Europe,Eastern Europe,North,North
BEL,FRA,FRA,ITA,2024,9416,565.7217156255948,Western Europe,Northern Europe,West,North
ESP,NLD,NLD,POL,2024,8033,1658.2874408452255,Northern Europe,Eastern Europe,South,East
AUT,POL,ESP,FRA,2022,5576,656.6707730876047,Western Europe,Eastern Europe,West,North
AUT,CHE,ITA,AUT,2024,2180,887.4963200147084,Northern Europe,Eastern Europe,West,North
POL,CHE,NLD,AUT,2023,7897,2042.2879085329187,Eastern Europe,Western Europe,East,South
ESP,POL,DEU,NLD,2022,961,1266.8818470951562,Western Europe,Western Europe,South,North
POL,AUT,CHE,CHE,2024,8446,964.2198858618907,Northern Europe,Eastern Europe,East,East
AUT,ITA,BEL,FRA,2024,1004,549.0869648285817,Western Europe,Southern Europe,North,North
BEL,FRA,ITA,BEL,2023,1369,1181.6995231439028,Eastern Europe,Western Europe,East,West
CHE,NLD,AUT,POL,2022,504,706.2074084191746,Southern Europe,Northern Europe,West,South
POL,ITA,AUT,DEU,2023,9135,2117.805404128162,Northern Europe,Eastern Europe,North,North
NLD,BEL,POL,AUT,2024,9856,2838.205631203712,Eastern Europe,Northern Europe,West,East
DEU,FRA,NLD,POL,2024,1284,2986.9818072460125,Southern Europe,Southern Europe,West,North
CHE,NLD,CHE,ITA,2022,1825,832.3381299456889,Southern Europe,Southern Europe,North,West
BEL,DEU,DEU,NLD,2022,8562,1384.20517411454,Western Europe,Southern Europe,North,South
CHE,DEU,NLD,CHE,2024,5911,2557.081288891899,Western Europe,Western Europe,East,North
ESP,AUT,DEU,ESP,2023,4056,2861.0773897934787,Western Europe,Southern Europe,South,North
DEU,CHE,CHE,DEU,2022,8565,2958.830612405884,Southern Europe,Southern Europe,North,South
ESP,ITA,ITA,ESP,2022,2406,2531.9657738484907,Southern Europe,Eastern Europe,South,North
AUT,CHE,FRA,BEL,2023,9450,2444.854549027432,Western Europe,Northern Europe,North,West
FRA,NLD,POL,CHE,2022,9998,1021.9235539425224,Eastern Europe,Northern Europe,South,East
ITA,DEU,NLD,BEL,2022,521,125.45391464899545,Western Europe,Northern Europe,East,South
DEU,AUT,AUT,POL,2024,5640,1208.1854355953647,Eastern Europe,Western Europe,South,North
DEU,BEL,POL,FRA,2022,4775,208.45127218551215,Eastern Europe,Western Europe,North,North
CHE,BEL,POL,DEU,2023,9182,1565.559243867196,Southern Europe,Northern Europe,South,East
DEU,CHE,ESP,FRA,2023,6848,1268.7908027199362,Eastern Europe,Western Europe,West,West
DEU,POL,ESP,NLD,2024,6203,1940.2137564504217,Southern Europe,Western Europe,West,East
FRA,POL,BEL,ESP,2024,3343,450.1652441003723,Southern Europe,Southern Europe,South,South
BEL,POL,DEU,POL,2023,2281,2933.2000837672053,Northern Europe,Northern Europe,West,North
NLD,DEU,FRA,BEL,2023,3196,1391.2946718176433,Southern Europe,Southern Europe,South,North
DEU,AUT,NLD,DEU,2024,6746,1515.5408759578313,Western Europe,Western Europe,South,East
DEU,NLD,POL,FRA,2024,9882,2457.8821119209483,Eastern Europe,Western Europe,West,South
ITA,BEL,ESP,BEL,2022,5982,387.76582867447564,Northern Europe,Eastern Europe,East,North
